Age,Gender,Sugar Intake (g/day),Workout Duration (minutes/day),Group
43,Female,68.1,40.2,Normal
39,Female,60.5,34.1,Normal
48,Female,55.3,43.4,Normal
27,Male,20.2,10.8,Normal
29,Male,49.3,25.7,Normal
45,Female,38.2,20.7,Normal
23,Female,60.7,13.3,Normal
37,Female,64.9,38.9,Normal
22,Male,45.5,44.1,Normal
40,Female,40.0,24.9,Normal
26,Male,73.3,52.8,Normal
46,Female,41.0,18.2,Normal
33,Male,32.1,52.5,Normal
39,Female,37.5,38.4,Normal
25,Male,41.7,11.6,Normal
37,Male,37.1,59.7,Normal
31,Male,62.7,23.3,Normal
56,Male,17.0,48.1,Normal
54,Male,36.8,32.2,Normal
51,Male,49.3,35.6,Normal
28,Female,53.2,43.5,Normal
57,Female,75.4,42.7,Normal
50,Female,73.2,24.9,Normal
48,Female,26.0,38.0,Normal
51,Male,21.4,36.8,Normal
24,Female,50.4,33.2,Normal
40,Male,39.9,27.0,Normal
24,Male,32.1,33.2,Normal
42,Male,50.2,59.5,Normal
20,Female,53.5,25.6,Normal
55,Male,37.4,48.1,Normal
37,Female,40.6,20.7,Normal
51,Female,38.6,16.8,Normal
47,Female,43.8,79.1,Normal
34,Female,58.1,38.1,Normal
27,Female,33.8,38.5,Normal
52,Male,40.4,38.9,Normal
37,Male,44.0,51.1,Normal
35,Female,49.9,36.1,Normal
44,Male,54.1,42.2,Normal
53,Female,80.6,14.1,Normal
40,Male,58.6,44.8,Normal
49,Male,58.9,26.4,Normal
27,Male,46.0,40.1,Normal
28,Male,35.3,4.3,Normal
55,Male,42.1,39.5,Normal
23,Male,39.3,-3.6,Normal
58,Male,55.9,25.9,Normal
51,Male,25.2,4.4,Normal
53,Male,58.9,39.5,Normal
54,Male,48.2,31.0,Normal
34,Male,61.0,18.4,Normal
57,Male,39.1,51.5,Normal
57,Male,36.5,16.6,Normal
29,Female,43.9,-15.5,Normal
38,Male,43.5,37.7,Normal
57,Male,62.1,3.5,Normal
36,Male,62.0,17.0,Normal
20,Male,78.6,22.2,Normal
35,Male,42.6,8.6,Normal
36,Male,-0.2,22.6,Normal
23,Female,43.9,8.9,Normal
33,Female,53.5,32.4,Normal
25,Female,60.7,11.6,Normal
35,Male,54.6,30.5,Normal
56,Male,42.6,47.4,Normal
29,Male,75.7,41.7,Normal
27,Female,34.5,28.8,Normal
24,Male,45.9,15.2,Normal
18,Male,33.8,32.4,Normal
53,Female,50.3,19.6,Normal
38,Female,73.8,33.0,Normal
54,Male,47.9,4.3,Normal
41,Male,48.0,42.1,Normal
42,Male,24.6,30.5,Normal
24,Male,45.7,63.1,Normal
59,Female,67.3,49.6,Normal
34,Male,46.2,38.5,Normal
46,Male,45.2,28.1,Normal
47,Female,66.6,19.1,Normal
24,Male,45.3,44.1,Normal
50,Male,69.4,26.6,Normal
24,Female,30.7,47.5,Normal
41,Female,60.2,36.0,Normal
28,Male,74.7,36.1,Normal
26,Female,65.1,38.9,Normal
29,Female,22.0,16.2,Normal
52,Male,40.4,14.7,Normal
21,Female,46.4,14.1,Normal
53,Male,65.1,45.7,Normal
45,Male,30.0,15.8,Normal
30,Male,34.7,17.7,Normal
40,Male,25.9,38.1,Normal
36,Female,37.6,26.2,Normal
59,Male,31.2,24.3,Normal
54,Male,74.0,23.0,Normal
56,Male,40.3,-4.9,Normal
41,Male,60.4,15.5,Normal
33,Female,50.3,47.7,Normal
50,Female,50.1,21.9,Normal
29,Female,41.1,1.5,Normal
51,Male,61.6,14.9,Normal
24,Female,52.3,35.4,Normal
28,Female,51.5,35.1,Normal
48,Male,41.1,25.6,Normal
46,Female,43.6,19.7,Normal
30,Male,58.8,9.0,Normal
48,Female,53.5,35.5,Normal
19,Female,51.9,42.6,Normal
56,Female,38.7,49.3,Normal
32,Female,79.2,13.3,Normal
28,Male,42.8,50.5,Normal
51,Male,49.5,29.2,Normal
56,Female,47.2,30.4,Normal
21,Male,79.3,43.4,Normal
28,Female,45.6,21.9,Normal
46,Female,44.3,-2.5,Normal
19,Female,51.8,40.6,Normal
33,Female,39.6,35.2,Normal
56,Female,51.7,24.6,Normal
30,Female,85.6,39.3,Normal
54,Male,54.5,42.4,Normal
34,Male,53.9,7.3,Normal
38,Female,39.2,30.3,Normal
36,Male,75.6,-4.2,Normal
24,Female,79.1,28.1,Normal
55,Male,62.8,24.4,Normal
25,Male,59.8,37.4,Normal
30,Male,46.5,13.9,Normal
54,Female,55.9,23.7,Normal
19,Male,37.5,-18.2,Normal
58,Female,33.1,38.4,Normal
28,Female,27.7,28.7,Normal
41,Female,56.2,31.3,Normal
23,Male,29.3,7.6,Normal
43,Male,42.5,36.0,Normal
24,Male,49.1,54.8,Normal
56,Female,64.9,27.2,Normal
36,Female,41.3,39.8,Normal
23,Male,66.7,16.9,Normal
46,Female,64.1,28.8,Normal
56,Male,33.9,7.0,Normal
19,Male,66.8,41.8,Normal
36,Male,45.7,32.4,Normal
21,Male,42.5,11.7,Normal
23,Female,45.8,18.0,Normal
54,Male,49.9,30.9,Normal
45,Male,43.8,43.9,Normal
47,Male,37.4,52.2,Normal
24,Male,38.7,28.0,Normal
26,Male,52.1,9.5,Normal
42,Male,47.6,33.6,Normal
50,Male,57.9,56.8,Normal
18,Female,50.8,5.7,Normal
23,Female,51.2,15.7,Normal
35,Female,58.9,39.2,Normal
27,Female,71.3,32.3,Normal
45,Male,71.9,21.8,Normal
28,Female,70.1,33.3,Normal
50,Female,63.1,44.7,Normal
18,Female,81.3,28.5,Normal
30,Male,56.6,27.2,Normal
54,Female,54.9,38.8,Normal
37,Female,83.7,25.9,Normal
18,Male,9.1,47.1,Normal
20,Female,46.8,60.4,Normal
35,Male,68.8,16.6,Normal
58,Female,64.7,11.2,Normal
31,Male,88.5,35.6,Normal
48,Female,51.6,10.7,Normal
44,Female,43.5,10.5,Normal
34,Female,45.0,-0.7,Normal
46,Male,54.8,24.3,Normal
53,Female,74.3,29.5,Normal
54,Male,74.5,22.2,Normal
43,Male,49.2,50.9,Normal
34,Male,53.8,49.7,Normal
39,Male,40.8,58.9,Normal
42,Female,42.4,30.7,Normal
19,Female,65.7,47.8,Normal
39,Female,74.0,34.6,Normal
22,Male,39.5,33.1,Normal
21,Female,53.6,23.0,Normal
53,Male,46.4,-3.9,Normal
23,Male,63.0,39.6,Normal
38,Male,44.2,47.3,Normal
30,Female,21.1,7.1,Normal
54,Female,65.1,29.9,Normal
42,Male,45.4,44.9,Normal
43,Female,47.0,24.6,Normal
56,Female,56.5,47.9,Normal
37,Male,55.3,27.9,Normal
50,Male,56.8,22.1,Normal
31,Female,25.6,48.8,Normal
53,Male,58.3,16.0,Normal
34,Male,21.4,19.1,Normal
38,Female,61.5,16.6,Normal
33,Female,66.8,12.9,Normal
33,Male,29.5,32.3,Normal
37,Female,54.9,22.3,Normal
46,Male,65.9,37.3,Normal
45,Male,43.3,4.0,Normal
25,Female,60.1,13.2,Normal
41,Male,8.2,30.8,Normal
20,Male,66.5,52.0,Normal
42,Male,50.4,35.7,Normal
36,Female,46.1,21.2,Normal
50,Female,64.8,7.7,Normal
19,Female,75.9,20.3,Normal
32,Male,57.3,29.4,Normal
39,Male,74.1,-5.4,Normal
