Age,Gender,Weight (kg),Carb Intake (g/day),Sugar Intake (g/day),Volume of Weights Lifted (kg/week)
60,Male,91.6,206.7,62.0,215.33403391127248
56,Female,66.2,206.6,43.9,75.4181061608042
21,Female,74.0,231.2,25.9,193.1977322589814
22,Male,85.1,332.1,87.7,267.83455668189293
21,Male,65.7,261.5,23.2,456.91985802880595
53,Female,78.3,181.9,83.6,207.2558618572693
62,Male,76.8,260.8,48.7,187.96344273979784
33,Male,85.5,147.3,74.9,0.0
42,Female,82.9,171.7,50.5,236.92181402923825
31,Male,82.5,235.3,68.7,354.92451521815735
28,Female,77.4,233.8,59.0,301.1172108597684
46,Female,54.9,230.1,36.6,0.0
51,Female,76.7,170.5,52.7,180.76779744215267
39,Male,75.7,170.8,47.1,306.3060695288948
31,Male,84.2,206.6,62.9,381.3355002134506
41,Female,69.9,187.4,52.8,171.90718643874024
56,Female,75.5,244.4,55.7,139.77786082249426
43,Male,75.9,186.1,29.5,61.883175220276314
60,Female,66.4,184.7,24.4,123.86335854389331
53,Male,61.2,118.7,51.4,273.90586581679213
56,Male,79.6,243.8,53.6,313.64451499428895
33,Male,87.1,216.1,29.0,0.0
55,Male,67.5,85.7,61.4,262.0029813832199
49,Male,72.4,222.3,62.3,3.5593099086635123
23,Male,85.0,179.9,53.1,246.56498951275418
51,Female,86.1,238.8,50.3,35.198107161769684
25,Female,77.8,194.7,24.7,5.3271317332847135
47,Male,80.0,159.8,24.3,443.464384573011
44,Male,81.4,286.5,57.9,16.25829183384554
24,Female,83.5,278.6,33.4,89.16876569819537
44,Female,62.1,190.7,34.8,135.46871715951286
42,Female,98.0,218.6,55.6,0.0
63,Female,78.3,177.0,90.8,202.7446957315728
58,Female,83.8,114.7,42.1,68.29379933583502
32,Female,65.9,265.9,91.0,41.24965476138576
42,Female,72.8,160.1,48.5,209.688525930117
39,Female,79.5,263.7,61.3,13.199185980615544
35,Male,53.3,234.9,69.2,236.1295358031371
29,Female,64.2,214.4,70.7,154.6595449493436
40,Male,66.3,198.0,56.8,208.37868927196888
62,Female,59.7,235.1,45.4,132.8307734671856
56,Female,76.3,153.5,66.6,131.427947989065
42,Female,74.1,266.7,58.5,0.0
27,Female,92.1,207.2,41.3,67.08281342722744
47,Female,61.6,274.8,78.2,55.96301242179671
27,Male,77.8,193.9,59.1,356.49987989854765
51,Female,64.4,207.1,35.0,181.8306476047079
63,Male,54.4,213.2,32.7,203.65496744419963
30,Male,82.1,228.8,89.2,488.0372763039866
46,Female,83.0,290.5,40.1,0.0
55,Male,81.6,178.1,65.1,376.87845787630056
58,Female,59.2,193.6,57.5,164.63256259695626
62,Female,76.0,199.0,64.4,64.11024628877863
26,Female,82.2,84.2,88.2,85.68231087260727
30,Male,86.4,172.3,69.9,146.8153405219965
54,Female,82.5,175.5,66.7,302.99730991617855
31,Male,86.6,331.9,46.1,229.72861097004247
54,Female,87.8,212.9,36.7,239.5957616428237
26,Female,76.3,224.7,98.4,79.40726312658062
25,Male,81.0,126.6,49.2,226.8864769701575
56,Male,87.0,196.9,47.9,295.3474515530874
57,Male,79.7,246.8,55.8,330.8881387035519
20,Male,89.4,325.8,53.8,22.853596853478106
64,Male,85.5,165.8,81.9,277.9340080472616
57,Male,67.4,109.2,60.8,201.82159676415517
50,Female,59.3,161.2,23.8,180.1798102300083
49,Male,75.2,161.4,36.8,122.19873875500336
24,Female,60.8,161.9,50.2,249.81015433150236
36,Female,76.0,245.4,70.5,160.03921700798912
51,Female,74.9,217.1,19.6,75.32460716832273
31,Female,90.6,143.6,59.9,90.32116370541108
64,Female,81.1,270.8,64.6,207.03471696408502
63,Male,86.7,294.7,67.6,326.7209237230999
36,Female,69.1,114.7,48.4,144.90917771947957
43,Female,93.4,258.9,71.0,116.99666533976341
34,Female,85.7,191.5,33.7,207.4752418420095
45,Male,80.1,152.9,68.9,131.95591372477207
36,Male,53.3,127.2,48.8,126.53002917038846
44,Male,89.1,177.4,50.9,493.2814373511404
36,Male,96.3,173.9,50.6,246.06738117185085
50,Female,75.1,207.4,63.0,126.45996038423249
24,Male,75.4,307.3,27.9,131.66901350952628
46,Female,68.8,174.6,67.7,113.30523735524622
60,Male,55.4,129.7,67.4,373.1177923951161
22,Male,68.3,183.5,44.0,317.9596550180991
47,Male,94.9,252.1,50.0,120.23779722288744
60,Male,87.9,187.6,32.8,171.22756334310375
25,Female,65.7,232.6,26.8,16.44358614160984
59,Male,68.1,208.5,53.9,236.32203048251296
29,Female,100.6,203.1,54.1,0.0
59,Female,62.8,279.4,43.3,0.0
30,Female,66.4,151.6,25.0,172.37768156137636
43,Female,69.8,148.0,59.1,0.0
35,Female,58.7,154.6,42.8,315.6741378651939
59,Female,68.5,217.3,35.0,57.64024183840243
37,Female,68.7,202.7,75.5,169.69738679878807
33,Male,64.2,235.5,30.5,351.53824513149357
54,Female,90.9,196.2,61.2,152.99005319754505
20,Male,61.0,190.2,20.0,194.36068901565798
44,Male,73.3,216.5,21.3,135.5246311697727
32,Female,64.5,284.8,59.7,16.11632614034079
51,Female,72.5,141.9,43.3,85.7526227771171
62,Male,63.9,154.0,26.6,199.37457499743766
39,Male,75.9,202.1,69.0,204.61726378413655
57,Female,78.9,301.6,57.4,55.390294547683
40,Female,91.8,146.4,7.4,265.9327644420857
21,Male,67.9,199.5,69.2,8.307087779554617
58,Male,94.4,156.1,28.7,266.84031729334913
40,Female,65.3,219.9,15.8,215.88891554270728
64,Male,72.1,96.8,33.6,239.3960390597261
26,Male,96.2,148.2,49.2,423.00263083705346
41,Female,109.8,263.9,51.5,191.87659340481014
38,Male,95.2,200.5,17.3,388.10786947230787
58,Female,72.3,162.7,21.7,0.0
63,Female,81.2,197.7,34.8,207.04061545076368
33,Female,83.2,196.8,36.1,191.7347772781114
42,Male,79.1,228.0,65.2,284.52731318055896
43,Female,62.9,96.2,41.7,204.73426948703892
62,Male,77.8,148.2,64.9,129.4512947664756
26,Female,68.9,152.3,71.9,183.4981846649908
32,Female,63.4,231.5,61.1,326.9008985748657
56,Male,71.3,199.7,-11.5,0.0
50,Male,78.8,272.0,43.9,378.03577733942717
18,Male,87.0,241.5,46.7,186.65992559227934
22,Female,72.0,182.7,48.9,85.9137208189206
26,Male,74.1,197.5,8.4,34.80646776632403
61,Female,84.6,264.7,34.7,198.90232253476287
23,Male,75.9,271.7,22.8,431.9586177859505
45,Female,79.6,195.2,31.5,92.3053427731094
62,Female,75.9,150.7,44.8,173.3660845367263
43,Female,77.4,95.0,35.2,122.47500669529067
45,Female,62.1,94.9,32.9,0.0
57,Male,76.5,223.6,46.0,183.09424757501276
32,Male,92.1,222.6,40.2,102.16911972364674
23,Female,77.0,166.2,54.0,50.144769084412836
44,Female,65.0,265.1,41.6,112.41748426103348
55,Male,92.7,189.7,18.6,168.34704128706136
21,Male,83.7,170.6,29.4,340.10725072740917
28,Male,84.2,258.6,43.4,192.24104582251218
38,Male,83.9,251.9,41.0,12.994165649131817
47,Male,61.5,197.4,21.7,373.1971859358272
35,Male,82.8,225.9,63.5,278.2327141357079
52,Female,91.6,232.2,56.2,170.10404718257792
20,Male,69.2,308.8,38.0,337.7355259877544
29,Male,51.9,193.4,46.7,190.7473258781398
44,Female,79.4,141.0,28.6,92.35273877238728
47,Male,75.4,231.3,67.1,228.1857477327319
38,Male,56.4,203.1,91.4,309.09929355082494
55,Male,82.3,205.6,37.1,273.4635996268114
38,Female,81.4,198.4,74.5,205.57539254355066
55,Male,57.4,120.4,32.8,200.41488070674995
57,Female,97.7,213.1,39.4,53.062426145758636
32,Male,84.0,182.0,78.7,106.14348786922076
35,Female,52.3,184.5,47.6,301.3578403659914
46,Male,84.8,180.1,63.7,216.69865524503965
55,Male,84.5,198.0,44.6,52.70401323213516
38,Male,92.0,213.0,13.9,34.83737890590286
34,Female,67.5,198.5,96.7,14.774187599838044
58,Male,85.0,257.7,45.7,325.4677308483458
35,Male,72.2,237.8,53.1,232.34555933704326
54,Female,68.3,196.3,35.3,300.6419505218124
55,Female,64.6,148.2,65.6,212.0658873336384
29,Female,52.2,229.0,64.1,172.5568543046948
28,Male,81.5,184.3,18.9,446.0866028283338
37,Female,71.7,191.5,53.4,56.17898595339792
26,Male,42.2,134.1,67.5,0.0
18,Female,75.9,220.7,74.0,191.72441366185996
20,Female,88.9,329.7,62.9,117.109851209735
38,Male,59.3,174.7,64.7,243.83018000991916
40,Male,66.4,231.1,39.2,392.7641082321149
26,Male,80.3,262.3,25.4,305.27796493537
36,Male,44.3,173.9,43.8,389.01584438093494
62,Female,68.6,78.7,25.0,59.24282256960013
63,Female,79.2,234.8,35.2,238.19583649993032
36,Female,68.3,204.0,34.9,63.96089438068937
40,Male,59.4,215.6,31.2,464.3194365785355
44,Male,60.0,202.7,60.6,236.97945711293178
44,Female,55.7,258.0,29.7,217.3548047777938
56,Female,67.4,195.1,86.7,100.60352763082133
53,Male,87.7,308.5,69.8,139.4514494369172
29,Female,103.3,234.9,73.8,182.46027216702697
44,Female,75.4,250.6,36.2,314.54094497371864
63,Female,84.2,200.3,54.0,297.8122388981482
51,Male,63.7,215.5,29.1,266.68143918656426
50,Female,49.9,115.5,54.3,102.04493840273031
45,Male,97.2,171.2,14.6,264.5280761234986
48,Female,67.9,253.9,71.2,298.41135437486196
49,Male,83.6,196.7,37.1,215.62444057424156
37,Female,76.9,143.8,56.1,97.2122842713558
57,Female,86.9,165.8,59.8,181.3772259818148
52,Female,86.4,165.4,38.9,135.93688734747863
48,Male,78.3,198.1,34.0,167.44596428737378
48,Female,79.7,158.3,47.6,124.74881977162715
55,Female,89.6,271.2,66.1,222.062589533771
39,Male,70.1,210.4,47.1,174.650359256296
62,Male,93.7,130.2,62.1,177.5794384864428
58,Female,66.5,276.8,65.9,141.48891541205097
26,Female,75.9,197.7,46.2,121.64463896397392
26,Female,82.6,225.3,47.7,316.3876419858638
32,Female,55.5,215.3,52.8,359.5782454813993
30,Female,91.6,220.9,72.8,129.9098648902097
39,Male,80.7,182.8,43.1,103.00093279679804
33,Female,114.6,216.5,72.8,85.50390986308052
49,Male,100.0,192.5,55.1,253.89496936668422
19,Male,74.9,218.1,35.3,184.1942810126213
43,Female,96.4,190.7,49.2,20.553368114119404
31,Male,85.2,185.5,27.6,187.2173696262861
55,Female,77.8,126.9,23.1,189.6378202813896
51,Male,55.1,199.7,62.1,347.5007307856338
25,Male,57.9,211.2,66.0,425.36251816614435
53,Female,75.1,292.4,49.3,109.48551464622385
38,Female,69.1,224.0,51.0,76.51312159554294
63,Male,77.7,163.8,38.5,155.24866142829612
60,Female,91.5,149.3,53.4,59.52073276304997
45,Female,85.4,213.4,89.6,69.30343189835524
63,Male,66.6,162.8,70.2,110.07388287827868
61,Male,86.1,171.6,48.5,253.5060700158499
23,Male,64.0,162.6,46.7,97.25304952483006
37,Female,61.3,183.6,42.5,246.4158040074629
48,Female,79.6,236.8,21.8,252.6652687059132
50,Female,65.2,100.5,40.3,35.70303676838353
61,Male,67.3,264.7,63.5,26.233973926085635
24,Female,86.9,189.8,31.4,87.9362423997392
25,Male,82.9,168.3,44.4,153.16859974336427
26,Male,70.5,244.4,27.6,336.4348445321613
19,Male,55.5,189.7,65.7,212.91174615896804
34,Male,66.2,147.7,24.5,249.24763084070602
62,Male,98.3,123.9,61.9,266.53800349465666
54,Male,86.6,234.8,70.6,91.29107879348689
59,Male,92.1,238.0,43.5,180.25040114014482
61,Female,78.1,179.3,36.3,123.57736837358779
34,Male,70.8,266.1,59.5,261.28823533030294
55,Female,85.9,201.8,82.0,5.967238324976686
52,Female,90.4,266.4,76.8,83.98590181177414
64,Female,69.2,152.1,48.5,142.68839512524275
56,Female,66.4,146.0,32.3,108.30323023504225
47,Female,56.7,174.3,45.4,8.875086124767273
23,Male,66.1,180.0,16.2,109.78220670715578
21,Female,83.0,257.6,38.9,9.957360867417318
54,Female,67.8,214.7,59.0,308.7941021987008
52,Female,86.2,162.0,42.6,121.04088223002928
26,Male,98.6,200.6,38.0,211.69733808881327
23,Female,75.3,178.6,48.9,42.03723567734426
30,Female,74.8,159.8,44.6,180.65176918855738
39,Female,81.6,196.0,65.1,240.78780741847115
45,Female,68.1,190.5,23.5,63.184730828764245
47,Male,67.2,161.7,60.5,87.48385401506873
53,Female,67.6,161.2,49.1,105.49899169282223
19,Male,61.3,240.7,58.7,13.82957718161147
53,Male,85.8,221.2,22.2,262.75083263022293
25,Female,69.0,247.2,67.7,223.35910485704662
62,Female,88.3,185.8,60.9,5.919166165552175
59,Male,81.4,145.6,83.5,296.2393835381211
26,Female,74.7,171.3,33.3,237.3256114892217
18,Female,84.7,251.4,38.3,0.0
30,Female,63.7,120.0,14.3,35.02491095304437
32,Male,65.6,272.2,33.5,119.75579214105436
49,Male,83.6,144.5,78.7,266.8338940622947
51,Female,48.7,239.0,55.9,169.88486436310671
60,Female,75.2,149.0,35.5,52.846936569341665
48,Male,82.1,170.2,52.7,415.49724698436717
31,Male,90.7,97.1,48.8,111.89392496473815
64,Male,93.2,292.7,11.8,82.77556431735503
31,Male,73.4,228.7,15.4,40.85671355043498
46,Male,84.2,231.7,72.1,174.25011410011305
64,Male,65.3,175.4,64.7,311.7159327608787
36,Male,69.7,153.5,20.3,79.43516411283967
44,Female,91.4,238.8,47.5,169.49237069327836
26,Male,74.5,139.8,35.7,251.93607682165126
54,Male,76.9,191.6,71.8,207.44119634053817
54,Female,62.6,137.5,59.0,161.77878363897457
60,Female,80.1,206.2,27.9,232.58800957084657
45,Female,84.0,104.2,52.4,189.67043740462398
41,Male,83.7,126.0,49.2,330.6611249671218
45,Male,60.5,157.0,49.2,50.15134586684043
53,Female,87.0,230.7,39.8,94.00648431166738
35,Female,63.0,173.4,50.5,43.700664045613976
42,Female,74.7,249.2,33.0,192.9224998096824
52,Male,55.6,275.0,26.2,377.1449375090214
21,Female,72.8,184.6,25.1,98.80242765395842
31,Male,63.0,126.1,29.0,248.99402640569804
56,Male,69.6,248.3,58.4,0.6725434025816752
43,Male,75.7,122.9,59.0,192.35465696924783
25,Male,84.9,154.8,79.2,0.0
41,Female,84.5,114.9,45.4,127.45749480835595
33,Female,47.0,248.2,64.0,0.0
37,Female,83.1,228.6,50.9,280.31428323385643
32,Male,77.5,280.9,56.0,185.42827051890234
24,Female,68.3,177.9,66.2,148.4890737406976
34,Male,64.4,158.8,61.6,455.7011118474284
39,Male,74.3,173.8,52.2,224.93715277706823
39,Male,77.8,133.4,37.7,0.0
29,Female,79.5,271.4,55.5,109.17606417484181
35,Male,72.6,368.8,77.3,456.07678674158075
63,Male,44.7,163.8,53.5,87.04965159250602
64,Female,69.1,229.6,42.1,112.82203553386177
32,Female,60.8,192.2,66.4,297.623662271547
54,Female,99.7,222.1,22.3,67.84345000480425
33,Male,75.7,253.0,42.8,210.4698215126811
22,Male,83.9,142.8,30.4,403.2701870498656
19,Female,82.6,176.1,47.6,81.59637704222177
45,Male,78.7,260.2,74.9,99.44243763457757
58,Male,70.0,225.4,62.8,0.0
44,Female,68.5,216.4,12.6,38.70482621798091
48,Female,50.8,225.5,37.6,60.799638645151205
58,Female,76.7,230.4,20.0,104.36344139923509
53,Female,78.6,257.9,71.2,200.7377309500039
64,Female,74.4,237.7,38.4,144.33401778145637
60,Female,76.7,197.5,51.5,28.173348852836327
18,Female,60.5,217.7,52.5,282.02952612425645
46,Female,71.5,196.6,54.1,35.61944921686056
18,Male,67.2,162.7,-7.9,429.9968460086841
25,Male,83.0,197.4,57.2,198.67500311813652
33,Male,75.5,194.3,39.0,380.75571469243965
45,Male,67.3,115.1,66.9,273.4695059301653
39,Male,73.1,238.7,54.1,431.5724053513787
35,Male,62.5,247.2,62.6,210.3539876249023
39,Male,71.1,227.2,35.4,162.66414188519028
58,Male,82.0,244.2,27.4,245.90993548001353
29,Male,59.0,191.2,67.8,166.8418955828034
36,Male,74.3,174.3,61.3,247.38906246775994
42,Male,66.0,247.4,54.4,376.76396245132787
22,Female,59.0,147.1,54.4,0.0
51,Male,97.4,145.3,58.4,194.10140886714896
56,Female,90.0,222.4,24.2,321.64516056401334
27,Male,67.8,221.0,71.5,137.20076945415371
64,Female,71.5,246.5,46.9,246.11627830819506
24,Male,50.7,114.5,47.5,309.13729092812713
54,Female,55.9,195.1,41.6,5.708401398016088
64,Male,61.5,143.5,0.6,225.67175240876296
32,Female,74.6,242.8,61.5,145.3340592303055
59,Male,73.6,266.7,30.0,600.0
41,Female,79.0,225.2,52.2,0.0
43,Male,83.1,172.1,33.6,0.0
43,Female,78.3,162.6,43.1,113.51100802708444
63,Female,62.0,179.4,42.0,95.20472851933053
43,Female,78.9,157.9,33.1,64.609060512494
27,Female,82.6,192.0,45.5,64.5710841512655
34,Female,69.9,162.5,40.4,197.4132629592235
31,Female,52.8,130.9,29.2,62.79829214411843
19,Female,89.2,219.0,73.5,98.42935629071832
30,Female,76.1,222.9,34.0,201.13050790605396
44,Male,41.7,285.0,61.2,321.78161792650974
26,Male,99.8,178.3,63.4,135.2153770478812
24,Male,69.3,105.5,68.5,5.0965754936377365
27,Female,104.3,240.8,39.1,229.34167315213938
26,Female,79.5,246.4,46.0,52.84973315917067
39,Male,72.6,257.1,46.6,336.81647716825006
40,Male,77.2,273.6,60.5,247.80091621761983
24,Female,66.5,274.3,45.2,139.57728220930602
26,Female,75.7,151.2,59.2,187.36419224192352
44,Male,99.1,277.4,44.9,0.0
41,Female,64.2,183.6,72.3,250.67666212299264
46,Male,81.4,239.9,49.8,168.71576535278322
34,Female,66.4,213.0,47.4,152.79804759640984
37,Male,73.0,151.4,56.8,117.2721139449137
24,Male,98.7,258.0,82.7,170.01615924865214
60,Female,81.3,177.2,37.9,305.5621874385673
57,Male,83.9,292.9,70.8,157.1082853559494
24,Female,75.9,161.8,33.6,88.05101137703079
45,Female,107.3,149.8,50.9,232.5756693885697
36,Female,63.6,166.9,34.1,148.48058110071344
37,Female,56.0,274.8,42.6,247.12275913328475
61,Female,95.2,121.6,36.4,0.0
56,Male,70.4,245.7,64.0,140.44404206195324
57,Female,79.9,291.6,40.1,7.538425106173923
24,Female,95.6,191.5,60.6,255.83353274615325
23,Male,80.1,180.3,39.5,27.40018492869485
42,Female,101.8,204.0,49.9,152.04469141317765
58,Male,76.6,143.9,79.2,26.86143179049262
30,Female,66.5,332.4,35.1,105.79194193534649
56,Male,46.8,233.5,35.5,68.39317757199544
57,Female,78.6,139.0,45.1,128.5198410765989
39,Female,48.2,159.6,49.6,316.778148985498
34,Female,78.9,209.0,62.4,6.399873316158624
39,Female,92.5,135.3,50.9,39.02457339326752
51,Female,74.8,124.8,54.9,215.44998132935277
25,Male,77.3,214.7,26.9,169.0520770542608
62,Male,86.0,250.3,56.0,32.756406306543994
35,Female,83.0,245.8,56.6,104.6684413544087
41,Male,88.9,197.0,63.4,0.0
59,Female,74.8,186.3,43.4,82.13307971120564
19,Female,48.0,202.6,49.9,50.51959499515155
19,Female,89.1,249.6,64.1,176.14433088834176
44,Male,72.1,137.2,28.8,267.01125428617564
31,Female,64.5,161.1,14.1,0.0
56,Male,79.0,181.1,27.8,200.8852772275908
29,Female,77.2,187.9,37.2,0.0
49,Female,66.0,197.3,71.4,158.9707784246848
45,Male,59.6,198.8,90.6,444.96678975602794
45,Female,80.6,233.7,31.8,92.95545339721264
63,Male,64.8,111.9,48.3,247.7536809448729
42,Female,76.4,119.9,39.5,220.92756386787397
21,Female,79.5,166.7,59.6,208.72369706278013
43,Female,86.6,243.2,55.6,233.3498666936532
53,Male,100.4,167.4,32.5,261.60394764493316
20,Female,77.8,197.9,37.6,64.10939467489291
18,Male,69.9,206.4,47.1,276.96716270727
34,Female,94.9,215.8,74.6,260.6077441101933
24,Female,87.6,278.2,36.9,193.7471441876035
22,Male,77.0,234.7,19.0,226.14846726561174
36,Female,77.8,249.9,76.1,0.0
56,Female,75.3,193.7,59.9,47.73810177295062
63,Male,76.9,273.7,26.7,108.63280927514434
51,Male,73.8,203.6,56.1,58.697766278677065
52,Male,63.3,102.2,66.2,182.59918413656345
33,Female,75.1,322.9,51.9,49.94504425267705
57,Male,96.1,202.3,77.3,303.5626712230408
64,Male,65.2,226.5,61.1,133.53169938232557
56,Female,71.7,146.6,56.1,31.899083869352186
44,Male,64.3,309.9,54.1,72.27712701791879
58,Male,88.9,160.3,52.7,218.74435527596225
55,Female,85.0,180.7,67.6,119.01114191396209
42,Male,59.7,123.5,47.0,192.4618140852855
43,Female,50.8,218.2,69.0,116.0271462374877
31,Male,85.4,185.9,56.2,432.64782846046876
31,Male,58.9,122.8,52.1,332.2631091443352
31,Female,84.9,196.6,43.8,65.82438488903834
42,Male,67.3,204.7,44.0,0.0
53,Female,83.3,187.6,56.4,109.25704340452468
21,Male,80.3,109.0,70.3,50.84656314000134
64,Male,68.6,214.5,60.1,0.0
32,Female,64.5,136.6,35.7,203.78903773656046
49,Female,81.9,244.5,18.0,148.09675610947062
35,Male,66.7,172.2,64.8,349.30011832419547
31,Male,88.3,246.4,103.7,209.50416158666866
18,Male,65.0,200.7,44.5,180.31582315912667
59,Female,79.2,203.3,40.7,18.853324502730644
37,Female,70.3,263.8,66.4,87.67518055185742
27,Male,75.1,159.2,32.8,0.0
27,Male,66.6,145.2,79.9,365.94082951864056
41,Male,72.9,227.8,58.2,26.0121811557915
51,Female,44.3,134.3,49.5,162.90227214484108
45,Male,65.2,160.1,34.5,180.1194002634519
44,Female,67.9,121.0,67.6,197.59773420950387
57,Female,74.1,257.6,41.1,129.10328848709577
18,Male,90.5,149.9,64.2,24.64347626994768
50,Female,66.6,167.3,58.0,103.88915418956532
21,Female,92.0,135.5,75.8,300.23995150702865
24,Male,64.7,180.7,53.2,88.94501720770023
26,Male,61.7,192.9,112.3,346.62519347881624
33,Male,52.4,241.3,61.1,301.86825725884586
22,Male,82.3,133.9,52.9,203.11635339173253
51,Male,76.0,170.0,42.2,110.03864462188248
40,Male,81.6,271.1,67.5,232.32702901333752
60,Male,76.6,252.1,42.7,137.52204808415678
42,Female,74.9,166.1,34.5,251.6226455165152
30,Male,78.4,197.5,40.6,28.749018416424544
41,Male,100.8,298.4,46.2,245.12826892741722
28,Male,69.3,140.3,95.0,217.3323419262558
34,Male,99.7,103.9,55.8,253.86538584495074
54,Male,85.2,173.2,36.8,282.8155600845238
30,Male,79.4,195.8,71.8,74.80278810093982
44,Female,81.7,159.9,53.8,65.91408732549064
37,Male,36.7,248.8,75.9,249.03004276594424
50,Female,71.9,210.5,88.2,248.15414587512348
59,Male,67.0,169.8,20.2,183.33007462543722
49,Female,100.3,173.1,2.5,316.695660505382
25,Female,70.9,162.7,89.8,107.44174623697728
46,Female,74.6,241.5,36.3,65.18021804784688
57,Male,74.4,176.4,16.0,244.12278675961323
36,Male,59.3,140.4,39.5,123.33723365523701
23,Male,68.3,248.1,30.6,124.10228222838158
61,Male,84.8,186.2,34.5,260.69728400708016
56,Male,49.4,132.0,67.1,306.780557785663
58,Male,78.7,285.6,42.8,225.2431108873169
38,Female,64.2,230.5,17.6,167.3401427386843
39,Female,90.6,202.3,50.7,356.5550302529312
59,Female,79.7,189.4,33.0,216.4483092310357
27,Male,56.8,186.0,45.0,145.77889184422222
27,Male,70.0,185.0,46.2,369.3554839611623
46,Female,80.4,186.3,66.9,122.70775367951727
33,Male,71.4,170.5,39.9,308.53181256883755
18,Male,76.7,194.8,64.0,268.874085530756
34,Male,74.8,169.5,18.1,186.49584288787904
47,Female,85.4,211.2,68.0,83.3790622133439
43,Female,80.3,198.8,76.0,125.5541723036708
63,Male,74.4,165.0,45.4,141.1485230802287
36,Female,75.2,195.7,33.6,173.6486933057999
38,Female,62.0,227.1,28.4,156.62977342000866
34,Male,92.6,87.2,49.5,0.0
63,Male,110.5,228.9,74.3,224.09731080771905
57,Female,71.0,138.7,41.5,372.69982035457525
38,Female,75.6,177.1,72.2,110.15879564625271
58,Male,87.2,58.5,27.0,364.8548970238195
57,Male,87.1,228.3,43.0,327.61278424620303
62,Male,77.1,163.0,49.1,0.0
36,Female,63.3,175.0,54.3,209.0631697211417
24,Female,96.8,204.5,43.3,67.21403329612869
34,Male,83.2,101.5,74.9,174.75462572663352
18,Male,77.6,203.1,75.2,5.281621473798818
54,Male,66.3,232.4,46.5,277.8876010169316
23,Male,75.7,208.7,39.6,145.35580878855765
43,Female,53.2,180.3,38.0,310.73639577577563
19,Male,83.9,202.1,70.7,17.82182672262838
49,Male,86.8,196.2,36.7,307.5581833960074
22,Female,77.8,237.9,20.8,156.2646276113203
54,Male,63.5,262.8,23.8,95.36818983490859
48,Female,80.4,179.5,63.3,0.0
29,Female,84.4,211.6,22.7,102.56410609717834
52,Female,66.1,166.6,42.0,140.88605251181954
47,Male,86.2,220.8,52.0,61.58229440318058
23,Female,81.3,223.0,16.4,48.450491605547676
32,Male,71.7,191.7,53.6,308.78700100588685
32,Female,68.3,226.0,43.5,62.79325767911826
33,Female,72.9,200.2,11.9,192.60972963204077
37,Female,63.4,197.6,53.9,228.94642412845138
30,Male,78.1,156.0,57.9,85.45862193522717
61,Male,81.7,208.6,53.7,36.32111140188384
59,Female,89.0,171.1,60.1,224.52646893773053
63,Male,78.6,243.5,55.2,173.02594385930277
48,Female,79.7,157.8,64.6,114.16672975841232
51,Female,71.8,213.4,31.1,300.0633614195439
46,Female,64.5,187.0,22.1,129.68687409807114
20,Female,69.8,213.3,26.8,185.1642231677706
26,Male,92.1,197.1,33.8,0.0
28,Female,82.6,159.1,90.4,130.56483709274391
28,Male,79.9,254.7,33.9,77.92158911500515
42,Female,53.2,155.6,39.6,100.5599492713125
39,Female,78.8,232.1,45.3,95.85425982863241
59,Female,59.0,115.1,42.9,241.36061032190682
63,Female,59.9,185.6,86.3,88.56118802582252
26,Female,61.2,276.5,15.5,90.45178718721954
37,Male,65.7,186.2,93.7,407.9298162158682
38,Male,85.0,204.8,52.9,157.82747266972993
27,Female,77.7,280.1,69.2,70.83189712304775
39,Male,63.7,192.9,50.4,384.70672709354744
46,Male,68.0,213.0,66.3,189.6253917041782
26,Female,81.0,230.2,31.1,157.69081893436388
22,Female,83.4,131.0,22.9,180.4449040708126
57,Female,76.6,175.7,101.9,274.21014767686626
28,Female,61.2,206.5,88.3,40.249565905843255
18,Male,70.0,120.2,28.9,358.1652407428297
59,Male,103.6,268.5,64.3,0.7483952949980961
18,Male,60.5,237.8,73.2,91.32110394879884
56,Male,79.5,230.4,63.2,75.98044169107338
63,Female,100.4,266.0,45.8,128.38247517530678
22,Female,71.7,236.2,90.5,69.00286763052392
39,Female,97.0,188.5,63.8,302.7056533186456
43,Female,66.7,118.4,31.4,211.57551314620986
23,Male,51.3,165.9,42.3,215.45209558044266
49,Male,68.0,167.4,28.6,79.39337894071599
28,Female,65.9,230.9,47.9,298.3881226307404
27,Male,55.0,204.0,47.2,211.75600009673852
64,Male,70.0,121.7,65.1,165.15980333888032
56,Female,86.9,243.3,64.8,116.52953592676668
51,Male,67.9,266.5,57.8,186.5737487672342
48,Female,70.5,273.8,57.2,210.9785964261052
29,Male,91.4,143.5,70.9,375.3902199673753
61,Male,66.0,216.1,45.5,69.87144992083974
33,Female,82.4,149.7,2.1,77.49986909688096
55,Female,54.5,297.0,92.2,85.11138572017492
20,Female,63.4,201.5,31.8,147.25025835877474
19,Male,72.4,181.5,63.9,304.78753404018227
22,Female,89.5,172.3,43.2,12.419365158964423
28,Male,64.0,216.7,78.0,61.98730647868019
42,Female,63.9,225.8,30.8,104.89046494495265
52,Male,78.3,117.6,35.8,270.17941504937255
52,Female,80.2,269.8,40.0,54.1393257287926
39,Female,62.6,223.5,61.1,89.42005760185916
54,Male,68.7,269.4,54.5,99.920403233946
39,Male,88.0,285.5,61.3,324.65214235416965
28,Female,60.8,195.0,52.5,124.60376189619674
